
Call:
msPGOcc(occ.formula = bbs_occobject_fulllandveg.occ.formula, det.formula = bbs_occobject.det.best.formula, 
    data = bbs_occobject, inits = ms.inits, priors = ms.priors, n.samples = 30000, n.omp.threads = 1, verbose = TRUE, 
    n.report = 6000, n.burn = 10000, n.thin = 50, n.chains = 3)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 58.0988

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                                Mean     SD      5%     50%     95%   Rhat  ESS
scale(svp)-sp15              -0.1047 0.2710 -0.5753 -0.0949  0.3229 1.0131 1200
scale(svp)-sp16               0.1180 0.2533 -0.2640  0.1020  0.5540 1.0003 1200
scale(svp)-sp17               0.1316 0.2569 -0.2768  0.1176  0.5578 1.0095 1072
scale(svp)-sp18              -0.0485 0.3308 -0.6095 -0.0419  0.4658 0.9997 1440
scale(svp)-sp19              -0.2114 0.2443 -0.6034 -0.2087  0.1730 1.0002 1200
scale(svp)-sp20              -0.0627 0.3356 -0.6027 -0.0733  0.5118 1.0079 1325
scale(svp)-sp21               0.4270 0.2559  0.0400  0.4058  0.8705 1.0012  987
scale(svp)-sp22              -0.1690 0.3007 -0.7000 -0.1478  0.3038 1.0060 1200
scale(svp)-sp23              -0.0855 0.3235 -0.6239 -0.0791  0.4348 1.0043 1200
scale(svp)-sp24               0.1303 0.3068 -0.3736  0.1418  0.6187 1.0003 1200
scale(svp)-sp25              -0.0859 0.2942 -0.5723 -0.0764  0.3821 1.0097 1200
scale(svp)-sp26              -0.1200 0.2941 -0.6283 -0.1212  0.3628 1.0022 1152
scale(svp)-sp27               0.1893 0.2365 -0.1968  0.1806  0.5922 1.0208 1200
scale(svp)-sp28              -0.2969 0.2335 -0.6852 -0.3010  0.0787 1.0145 1200
scale(svp)-sp29              -0.0617 0.3311 -0.5982 -0.0572  0.4941 1.0012 1200
scale(svp)-sp30               0.1605 0.2332 -0.2156  0.1601  0.5413 1.0018 1200
scale(svp)-sp31              -0.2538 0.2427 -0.6448 -0.2551  0.1416 1.0125 1200
scale(svp)-sp32              -0.1024 0.3316 -0.6351 -0.1048  0.4338 1.0015 1200
scale(svp)-sp33              -0.0572 0.2491 -0.4726 -0.0547  0.3534 1.0081 1081
scale(svp)-sp34               0.0499 0.2761 -0.4068  0.0531  0.4969 1.0012 1200
scale(svp)-sp35              -0.0187 0.2022 -0.3517 -0.0236  0.3117 1.0175 1200
scale(svp)-sp36               0.4908 0.2587  0.0727  0.4802  0.9369 1.0085 1200
scale(svp)-sp37               0.0212 0.2894 -0.4437  0.0189  0.4845 1.0008 1200
scale(svp)-sp38               0.1922 0.2503 -0.1979  0.1826  0.5994 1.0017 1200
scale(svp)-sp39              -0.0335 0.2647 -0.4832 -0.0412  0.4141 1.0003 1312
scale(svp)-sp40              -0.1188 0.3059 -0.6253 -0.1220  0.3870 1.0019 1200
scale(svp)-sp41              -0.0270 0.2369 -0.4189 -0.0191  0.3462 1.0238 1200
scale(svp)-sp42              -0.2079 0.2264 -0.5926 -0.2081  0.1517 1.0002 1200
scale(svp)-sp43              -0.1004 0.2776 -0.5436 -0.1112  0.3821 1.0003 1133
scale(svp)-sp44              -0.4302 0.2803 -0.9235 -0.4230  0.0279 0.9996 1200
scale(svp)-sp45              -0.2100 0.2587 -0.6390 -0.2026  0.2257 1.0055 1200
scale(svp)-sp46              -0.0902 0.2914 -0.5946 -0.0935  0.3696 1.0034 1200
scale(svp)-sp47              -0.0070 0.2895 -0.4798 -0.0026  0.4744 1.0008 1376
scale(svp)-sp48              -0.0727 0.3206 -0.5724 -0.0792  0.4408 1.0044 1200
scale(svp)-sp49              -0.2728 0.1972 -0.5997 -0.2707  0.0481 1.0036 1341
scale(svp)-sp50              -0.0858 0.3275 -0.6473 -0.0758  0.4276 1.0014 1200
scale(svp)-sp51              -0.0677 0.3097 -0.5778 -0.0638  0.4457 1.0081 1200
scale(svp)-sp52              -0.1592 0.3211 -0.6748 -0.1460  0.3338 1.0123 1200
scale(svp)-sp53               0.1712 0.3016 -0.2892  0.1620  0.6776 1.0036 1200
scale(svp)-sp54              -0.3816 0.2793 -0.8801 -0.3760  0.0546 1.0043 1200
