"fid","plot_id","geom","ldi_250ft","ldi_500ft","ldi_1k","ldi_1k_2005","ldi_2k","ldi_3k"
429,Large-020_1,POINT (2195469.8881724156 598828.9197013098),0.18282826102874683,0.4334629324218815,0.47217893291393076,0.22855893327169977,1.370099520751931,1.6425135609586654
430,Large-021_1,POINT (2219848.5762350345 615811.5142641251),0.03853806905947418,0.1095963780949951,0.10276870659876902,0.04765168078782038,0.6803275457891231,1.8158409861206297
431,Large-022_1,POINT (2136740.3512654346 636158.2280913395),0.0,0.02501827028944721,0.07978375669595031,0.03689593679466598,0.471847265649477,1.6181814352026533
432,Large-023_1,POINT (2145001.7886468666 640859.8342133216),10.743856565443995,8.105169667243917,5.174661028906307,4.561174675784267,4.948479397000149,7.127608386966554
433,Large-024_1,POINT (2219090.5009967396 601272.404510346),0.0,0.0,0.0,0.0,0.7237056389635739,0.5617706418844335
434,Large-025_1,POINT (2241320.9764026757 626722.870089551),1.3248515528823168,7.079687829546934,7.814981262414173,10.042370678122834,6.531113985279965,6.1502708287296635
435,Large-026_1,POINT (2145662.3160453564 616269.8968238244),0.8298303249211026,0.59111702648973,0.41518585635829713,0.1996346755669487,0.8403647907927028,1.160783702349544
436,Large-027_1,POINT (2153653.554385588 660345.76937174),0.986981275362181,1.9975022051302047,3.439803992926478,2.403731115056999,4.823696150710977,5.686394923126226
437,Large-028_1,POINT (2224030.607651549 591297.127168154),0.008647985863178402,0.5619360601844539,1.3450953425892913,0.7224554294341998,0.7861525608089501,0.9397347614673935
438,Large-029_1,POINT (2260106.0608627144 697257.9135870158),0.0,0.1732705349188701,0.2609296086593135,0.1232264471812097,0.5637862754521412,1.3742943865162383
439,Large-030_1,POINT (2152150.710924649 616125.6738684346),0.43827443858968973,0.3947630194370589,0.44617787878947907,0.2153161823805728,1.0434618195459946,1.784499308825991
440,Large-031_1,POINT (2264336.937570804 692802.3003190713),0.0,0.036797119789261354,0.2101102978831188,0.0986424776521446,0.2194467771466729,0.20606649421202963
441,Large-032_1,POINT (2172664.61165202 592892.3191979529),0.0,0.0,0.141726893890615,0.06601257136484312,0.7406304337345582,0.9063825728235954
442,Large-034_1,POINT (2137662.339000455 630421.6370398366),0.3409530015152212,0.18855323544171648,0.46562424126636803,0.22521304656835225,1.1606184892435683,1.9951980876820437
443,Large-035_1,POINT (2151965.164230554 608450.7440384675),0.9791898254460872,0.6786390821405136,0.6340418058208032,0.3128054943922128,0.6823692963602708,2.729377194335498
444,Large-036_1,POINT (2189627.225649951 596322.1076185927),0.19123972495175753,0.19620530031149272,0.6575677742601732,0.3253137654854153,0.85629249128428,1.0094831849185166
445,Large-037_1,POINT (2245224.6063358285 625437.6984654749),0.0,0.5256695554918349,0.9912391563061408,0.5102129024462192,3.5504588440124567,3.4782590492878613
446,Large-038_1,POINT (2143403.959056522 638650.9418543476),0.0,0.09689554042882925,5.469304201003514,5.021056976802928,8.580625307033486,9.216896116689032
447,Large-039_1,POINT (2155365.776850814 655429.7285995912),0.01989353297617553,0.19399919547804903,0.2866145404003311,0.13576146689772378,0.8094173425114928,2.301680959599948
448,Large-040_1,POINT (2217943.1507047317 601045.4524279413),0.29726343225263524,0.18184050978826524,0.15213507318808378,0.0709458623476373,0.1962950411815095,0.4100474380760408
449,Large-041_1,POINT (2226791.711212853 619157.5039082686),0.013607458349381821,0.32822385374342544,0.5924256249286359,0.2908442967294189,0.7151540606688183,0.8043206126906925
450,Large-042_1,POINT (2153863.550612816 613679.4099699504),0.5066875351712425,1.5393252791822678,3.4605169467417847,2.4247363363142456,7.233716374753955,6.8312487485186235
451,Large-043_1,POINT (2267827.407393981 649001.4193384877),0.01938714927613703,0.15689146293797562,0.25859552245215256,0.12209101311762832,0.3286944640379559,0.3536134635547677
452,Large-044_1,POINT (2226667.7989604496 619192.6049063375),0.0008074995933865,0.1814337864203887,0.530102367969121,0.2583468655740278,0.7057257710685227,0.9781324286656887
453,Large-045_1,POINT (2382504.9572858694 489324.06061415025),7.773807073417793,8.472437554138825,7.640704391314356,9.569086549096282,5.998311207568956,5.5056021824806125
454,Large-046_1,POINT (2151134.358926934 613319.5793091124),0.0,0.015132941239746626,0.2525144486650722,0.11913569271341203,0.9464278944098217,1.2960229557265475
455,Large-047_1,POINT (2264472.818545091 691776.3646262942),0.0,0.0,0.04170066802837025,0.019199878442700963,0.1011085334322736,0.1678985536807666
456,Large-048_1,POINT (2164011.306945883 598569.7848401401),0.0,0.0,0.06310798308120825,0.02912810863469852,0.22156149374918666,1.6510565022463801
457,Large-049_1,POINT (2213013.2901213043 605210.3898826083),0.0,0.20676347583009985,0.23795145091863676,0.11207506934294104,0.46573079046351545,0.4470355033294182
458,Large-050_1,POINT (2136099.1709972345 631712.079725858),0.0,0.009413267853799354,0.4121455277497009,0.19810233298846242,0.7830692569277269,0.9488312618115375
459,Large-051_1,POINT (2155518.1137281437 606080.7145342723),0.1669231109026162,0.18508537001986483,0.8705147571335954,0.4416695256529565,2.1296195602690298,1.9676377164926206
460,Large-052_1,POINT (2220014.107269852 601613.6603430075),0.0,0.0,0.028207512859090435,0.012967154904438734,0.40914478454479375,0.8211155459890468
461,Large-053_1,POINT (2250171.9069935326 639513.2563031832),1.7744239712535606,1.551257415405264,1.1585656954331516,0.6084217687251712,1.0002194368286363,2.5945647431993866
462,Large-054_1,POINT (2141517.7281377898 627917.501419386),0.2986416941782771,0.18965524377973875,0.2433015215586415,0.11466620981320645,1.4548349343876368,2.696524205561563
463,Large-055_1,POINT (2151911.8343364107 657629.316079848),1.3483862862562388,1.1459074886704212,2.784147033145452,1.788050682888167,3.5586564345843175,3.424970699612123
464,Large-056_1,POINT (2211425.90658686 600581.3197285794),0.0,0.01669452391492739,0.20267073132003005,0.09506764674980157,0.3695248784375237,1.0443478512981148
465,Large-057_1,POINT (2259943.5806985507 691068.3452341884),1.0122819790986335,0.47370668020693496,0.5380770659112241,0.2624791674468016,2.6629512088198153,3.2236406958186463
466,Large-059_1,POINT (2262910.0112402085 636624.0167312536),0.5022700498987038,0.49576437434684145,0.4971188624170397,0.24133595028753857,0.5893686873590591,0.5640882412480679
467,Large-060_1,POINT (2187083.8153099995 561221.8073504424),0.0,0.0036203008056422464,0.3759048235116131,0.17991918090591466,0.7540492958069294,0.7619607388612519
468,Large-061_1,POINT (2232956.0625580866 691624.9750258983),0.6094860632944966,0.7357420340918291,1.2365588059688286,0.6555072558169425,1.5066095194997606,5.862909167421284
469,Large-062_1,POINT (2149319.456700228 615863.6433523217),0.13532666218560882,0.1901915808518714,0.21187682382311332,0.0994922217236247,0.8622088710587518,0.7216833947038714
470,Large-063_1,POINT (2265192.481864749 685182.3121141944),0.0,0.0009526195933171,0.1858272203054518,0.08699666138555046,0.44655858653159697,0.451540216477925
471,Large-064_1,POINT (2158147.8373892554 601408.4011726946),0.0,0.18508216191570093,4.2702248366408,3.3295581425608485,9.123102203180315,8.351238520162509
472,Large-065_1,POINT (2197191.6248570834 643171.1764321849),0.0,0.0795371905809614,0.4096945876014755,0.19686782619955984,6.541997227986008,8.146888416145806
473,Large-066_1,POINT (2137704.3655145233 629354.9894749249),0.18389301267740038,0.3115531327158987,1.626242786086033,0.9038589215470882,1.1202089733616973,1.5075511230977745
474,Large-067_1,POINT (2151556.2015129793 614168.1259035332),0.4989410832893451,0.5829264850689635,0.8641645811185032,0.43811658024887457,0.9326320247690211,0.8793155963602772
475,Large-068_1,POINT (2195982.0843521026 598126.9067600635),0.0,0.0,0.057972609958663525,0.02674197466333142,1.1673682106790013,1.1663323203006701
476,Large-070_1,POINT (2135990.914555448 636593.8554827941),0.0,0.0,0.10242871060605355,0.04749216545496579,2.1026469333067728,3.725219070028399
477,Large-071_1,POINT (2148856.7983230646 643719.7627373231),0.0,0.0,0.25898373974508127,0.12227982207988913,2.7669237087228793,5.4710932310715314
478,Large071_1,POINT (2148851.588979575 643683.2862224043),0.0,0.0,0.2663217592863624,0.12585183446207576,3.0796575478803785,5.479253628226219
479,Large-072_1,POINT (2219324.218739034 601384.1614372062),0.0,0.0,0.0,0.0,0.7257585216561769,0.6091970220400487
480,Large-074_1,POINT (2146156.627514243 615880.0460637579),0.0,0.0002166756829634,0.28985677322751413,0.13734905026229796,0.5374415166237467,0.9554262405956795
481,Large074_1,POINT (2146167.554441746 615887.4144321422),0.0,0.0,0.28890475653468056,0.1368827653040322,0.5348753388258946,0.9412400133911711
482,Large-075_1,POINT (2265794.3207066734 642934.4604986175),0.0,0.016195809319322213,0.2707801312309117,0.12802503686143854,0.4034192352055931,0.33701723333252
483,Large-076_1,POINT (2221562.1983457366 592112.6278860874),0.0,0.0,0.0,0.0,0.8333875051476612,0.9355492756362817
484,Large-077_1,POINT (2260095.357213513 695446.6902038757),2.1286228949802197,1.638955959049357,2.143797996508246,1.2701146701461126,0.8483486227296889,1.046852305609851
485,Large-078_1,POINT (2150410.597665427 613897.0527633372),0.0,0.002507802549554814,0.14766148940384727,0.06882401474706915,0.8341519535932715,0.7720963108778716
486,Large-079_1,POINT (2264705.2857331396 690908.3226856574),0.0,0.0,0.032859404026229395,0.015113757634667335,0.13591397124161542,0.15954483922421855
487,Large-082_1,POINT (2136647.8931294996 636004.5431373998),0.0,0.0,0.05680119004942305,0.026198073412762573,0.44348060067759576,1.567636138842493
488,Large-083_1,POINT (2152569.8143507903 609103.9500361398),0.0,0.018885880290342435,0.45606521887138823,0.2203426221867629,3.2211472309879903,3.8239886794612103
489,Large086_1,POINT (2145061.175914599 640431.0435103849),0.0,0.2290228974529421,5.0385223123523435,4.358999715959255,6.130731747925523,8.193728817285974
490,Large-089_1,POINT (2224961.1651533972 616292.0505729689),0.0,0.031685533053423844,0.21319276980362173,0.10012545001252651,1.8519970391225613,2.6527958813548222
491,Large-121_1,POINT (2241382.851388215 623702.8633306796),0.0,0.04330345891788917,2.195136671794908,1.3088817139878821,5.984861081934603,5.506716853537675
492,Large-122_1,POINT (2148606.7828290085 615348.1613391949),0.21398696107463647,0.16992321694236723,0.5114871789443041,0.2487303879488087,0.3023775266784625,0.6232524854535262
493,Large-123_1,POINT (2153490.64833424 649100.5192213599),0.3562255553264202,0.5819089651841503,1.1187247185914895,0.584693569132365,4.271569657547126,5.497640210519537
494,Large-124_1,POINT (2152098.26059272 609359.0283606288),0.4926030735931413,0.409871569603677,0.3624282791577611,0.17319616498878943,2.893358852151774,3.6110281610680275
495,Large-125_1,POINT (2259194.143923059 696867.8053557276),0.0,0.12039176571229612,0.28309731344888783,0.13404057035521838,1.0806260419796907,2.7559485408932725
496,Large-126_1,POINT (2152780.2299283063 616731.7135391212),0.02729966067089022,0.19528586968527412,0.492906239332031,0.239172620946764,0.6969366869407677,3.566710337583126
497,Large-127_1,POINT (2264275.0554668875 697352.9554277494),0.5792544129406549,0.5676488659200127,0.6490531270512441,0.3207788777724392,0.2808283374644463,0.27525804063687487
498,VIBI001_1st,POINT (2361406.9307748326 593501.7470163718),0.0,0.0,1.7116560886587198,0.9613362035133832,2.892604834395001,2.226895074244045
499,VIBI002_1st,POINT (2363143.873990256 594845.7625740799),0.0,0.0,0.0,0.0,0.3349956270647025,1.4715394196307234
500,VIBI003_1st,POINT (1975270.9511258837 475035.28642740025),,,,,,
501,VIBI004_1st,POINT (1975958.54291981 475024.5597801098),,,,,,
502,VIBI005_1st,POINT (2185928.6983900615 563583.2737346875),0.0,0.0,0.1522317016014099,0.07099171790242656,1.3085620811438594,0.6670687194605744
503,VIBI006_1st,POINT (2185493.5567489318 563932.7606108319),0.0,0.0,0.18605475408704752,0.08710548139234953,1.313342201216935,0.67044757783563
504,VIBI007_1st,POINT (2141559.1640791474 638499.0631024897),0.0,0.0,1.3051048376352348,0.6975933645008335,6.281381556655478,6.949792439439404
505,VIBI008_1st,POINT (2141046.4618951306 638090.9086665568),0.0,0.00643329258264244,1.0047174841499464,0.5179843655106506,4.939466321013858,6.668718479776539
506,VIBI009_1st,POINT (2141214.529711165 637986.4543368041),0.0,0.08858547656409216,2.526596050685394,1.5705138664972937,6.348746132606275,6.995025258756735
507,VIBI010_1st,POINT (2139720.7666169535 637833.6113340809),0.36720252007492066,0.19282785409717762,0.4839759877901538,0.23459355766978604,2.4308772768787796,3.6860074937044462
508,VIBI011_1st,POINT (2362907.413132238 595519.6495070404),0.0,0.0,0.0,0.0,0.504310879914068,2.2437527538354587
509,VIBI012_1st,POINT (2264666.123937439 669561.2507509842),0.040889037891043874,0.36348492356132434,0.5316742511510391,0.2591607783502015,0.747010717798454,0.8441689868462187
510,VIBI013_1st,POINT (2476990.908005197 832725.1183938067),,,,,,
511,VIBI014_1st,POINT (2477455.7662505438 832877.2457107819),,,,,,
512,VIBI016_1st,POINT (2194493.3725634185 596622.5632458657),0.24713585248036624,0.2521287982079882,0.7261752939710144,0.3621802862507175,1.1386125757525811,1.7722838078495577
513,VIBI017_1st,POINT (2194750.3905228702 597047.6527822514),0.0,0.0015866113601030619,0.3652785000551559,0.17461630980145793,1.5139230111621584,1.538235290040889
514,VIBI018_1st,POINT (2263698.5607688865 701263.1871750667),0.0,0.0,0.21515794856736184,0.10107144398036078,0.5647166287721248,0.4745545376801425
515,VIBI019_1st,POINT (2263298.2489653104 701112.4744058575),0.0,0.0,0.0660528331173612,0.030497696810360676,0.4691151796305577,0.5545928978915681
516,VIBI020_1st,POINT (2261844.4886608655 697188.1206847465),0.0,0.0,0.016175606284742735,0.0074257164900948065,0.23964210156732924,0.3174587219813719
517,VIBI021_1st,POINT (2145480.646486062 640079.9751406864),0.0,0.0,4.94183671828301,4.219215718728648,8.98243002601978,9.308378177044865
518,VIBI022_1st,POINT (2305114.5492649833 707514.7239864261),0.0,0.0,0.0,0.0,0.14712391783474407,0.2613400881585844
519,VIBI023_1st,POINT (2304629.240522203 707209.0573936056),0.0,0.0,0.0,0.0,0.03328018019585601,0.22017218836556823
520,VIBI024_1st,POINT (2305113.5857706587 708939.583943444),0.0,0.0,0.4179916784421497,0.20104977767691584,0.22956192659401936,0.324091254785632
521,VIBI025_1st,POINT (2219720.3895719787 594253.9558461191),0.0,0.0,0.0,0.0,0.0,0.10773284551124446
522,VIBI026_1st,POINT (2262316.2715187273 688648.6462470612),0.0,0.06763046911903184,0.20822648860782256,0.09773669804489554,0.2801674018126379,0.449531446865924
523,VIBI027_1st,POINT (2262853.918212037 688556.8814552095),0.4715007602923091,0.3979194666765468,0.2040240423447916,0.09571747879716136,0.18356243220545954,0.40633024840483506
524,VIBI028_1st,POINT (2266224.413414464 638126.2331887952),0.0,0.02072846840969897,0.25451135460392427,0.1201057059658383,0.42420573557065366,0.48686557525159135
525,VIBI029_1st,POINT (2265779.2742990092 637745.3771754559),0.0,0.0,0.04513087412337195,0.02078743997746709,0.46144889622280744,0.5013916476312634
526,VIBI030_1st,POINT (2322036.156593933 713539.2836678958),0.18288741426630528,0.14249076919766668,0.07349160430639058,0.033961452406220595,0.12871011079349426,0.37557977833167155
527,VIBI031_1st,POINT (2227991.810138845 622661.2126704715),0.18184606618547616,0.1328216702582408,0.12121979881718771,0.05632710252869432,0.2454415710180435,0.41297076002205957
528,VIBI032_1st,POINT (2230956.9717146703 627845.8542610409),0.0,0.0,0.057937243502888994,0.026725551538375438,0.7477971441047837,3.7824040139246975
529,VIBI033_1st,POINT (2223889.295822609 535045.3724682109),0.0,0.012300083864372697,0.06760943099455397,0.03122201320345547,0.5469845183620564,1.8666668294847408
530,VIBI034_1st,POINT (2226017.2555921995 536729.5559343948),0.026119288965545676,0.11768533256848972,0.21551301457955918,0.10124241063584134,0.37213849846936126,1.4879498927731172
531,VIBI035_1st,POINT (2227577.7754821526 548343.8644400304),0.0,0.0,0.0002599087316009,0.0001190974959442,0.10131102235018283,0.24071292226132152
532,VIBI036_1st,POINT (1996114.3563861048 585006.68454957),0.0,0.7628514071235253,4.622883993944444,3.7795438148660034,5.431988409136521,6.819841383067659
533,VIBI037_1st,POINT (1995058.0662032906 585686.820175495),0.0,0.0,0.33256073581838735,0.1583703500680718,5.279016589188874,6.4863615649973525
