Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,American Redstart,svp,-0.2103,0.2619,-0.6288,-0.2086,0.2053,1.0005,1200,NE,NO
Occupancy,American Robin,svp,-0.3121,0.2727,-0.7495,-0.309,0.1503,1.0013,1200,M,NO
Occupancy,American Woodcock,svp,-0.0794,0.2976,-0.587,-0.0632,0.4085,1.0026,1200,M,NO
Occupancy,Barred Owl,svp,-0.0151,0.3188,-0.54,-0.0187,0.5017,1.0007,923,R,NO
Occupancy,Bald Eagle,svp,-0.2148,0.3173,-0.7546,-0.2009,0.2999,1.0084,1200,R,NO
Occupancy,Bank Swallow,svp,-0.0862,0.3119,-0.5786,-0.1004,0.4228,1.0128,1200,NE,NO
Occupancy,Baltimore Oriole,svp,-0.2631,0.223,-0.6337,-0.2644,0.0996,1.0089,1200,NE,NO
Occupancy,Barn Swallow,svp,-0.2774,0.2581,-0.7027,-0.2736,0.1359,1.0088,1097,NE,NO
Occupancy,Black-capped Chickadee,svp,0.0015,0.298,-0.4967,0.0052,0.4679,1.0001,1200,R,NO
Occupancy,Belted Kingfisher,svp,0.0014,0.2575,-0.401,-0.0055,0.4234,1.0038,1304,R,NO
Occupancy,Blue-gray Gnatcatcher,svp,0.1549,0.2678,-0.2492,0.1481,0.6172,1.0045,1200,M,NO
Occupancy,Brown-headed Cowbird,svp,0.0471,0.2648,-0.3857,0.0402,0.4939,1.0017,1200,M,NO
Occupancy,Blue-headed Vireo,svp,-0.0783,0.3072,-0.5736,-0.0931,0.4243,1.0009,1200,NE,NO
Occupancy,Blue Jay,svp,-0.1383,0.2727,-0.5771,-0.147,0.3135,1.0026,1200,M,NO
Occupancy,Bobolink,svp,-0.0708,0.3015,-0.5456,-0.0678,0.4345,1.0022,1200,NE,NO
Occupancy,Brown Creeper,svp,0.3523,0.2493,-0.0334,0.3409,0.7937,1.0307,1200,M,NO
Occupancy,Brown Thrasher,svp,-0.1583,0.3047,-0.6624,-0.1575,0.3458,1.0014,1450,M,NO
